Tense,Person,Gender,Number,Conjugation
Perfect,1st,,Singular,فَعَلْتُ
Perfect,1st,,Plural,فَعَلْنَا
Perfect,2nd,Masc,Singular,فَعَلْتَ
Perfect,2nd,Fem,Singular,فَعَلْتِ
Perfect,2nd,,Dual,فَعَلْتُمَا
Perfect,2nd,Masc,Plural,فَعَلْتُمْ
Perfect,2nd,Fem,Plural,فَعَلْتُنَّ
Perfect,3rd,Masc,Singular,فَعَلَ
Perfect,3rd,Fem,Singular,فَعَلَتْ
Perfect,3rd,,Dual,فَعَلَا
Perfect,3rd,Fem,Dual,فَعَلَتَا
Perfect,3rd,Masc,Plural,فَعَلُوا
Perfect,3rd,Fem,Plural,فَعَلْنَ
Present,1st,,Singular,أَفْعَلُ
Present,1st,,Plural,نَفْعَلُ
Present,2nd,Masc,Singular,تَفْعَلُ
Present,2nd,Fem,Singular,تَفْعَلِينَ
Present,2nd,,Dual,تَفْعَلَانِ
Present,2nd,Masc,Plural,تَفْعَلُونَ
Present,2nd,Fem,Plural,تَفْعَلْنَ
Present,3rd,Masc,Singular,يَفْعَلُ
Present,3rd,Fem,Singular,تَفْعَلُ
Present,3rd,,Dual,يَفْعَلَانِ
Present,3rd,Fem,Dual,تَفْعَلَانِ
Present,3rd,Masc,Plural,يَفْعَلُونَ
Present,3rd,Fem,Plural,يَفْعَلْنَ
Imperative,2nd,Masc,Singular,افْعَلْ
Imperative,2nd,Fem,Singular,افْعَلِي
Imperative,2nd,,Dual,افْعَلَا
Imperative,2nd,Masc,Plural,افْعَلُوا
Imperative,2nd,Fem,Plural,افْعَلْنَ
VerbalNoun,,,,فَعْلٌ
ActiveParticiple,,Masc,Singular,فَاعِل
ActiveParticiple,,Masc,Dual,فَاعِلَانِ
ActiveParticiple,,Masc,Plural,فَاعِلُونَ
ActiveParticiple,,Fem,Dual,فَاعِلَتَانِ
ActiveParticiple,,Fem,Plural,فَاعِلَات
PassiveParticiple,,Masc,Singular,مَفْعُول
PassiveParticiple,,Masc,Dual,مَفْعُولَانِ
PassiveParticiple,,Masc,Plural,مَفْعُولُونَ
PassiveParticiple,,Fem,Dual,مَفْعُولَتَانِ
PassiveParticiple,,Fem,Plural,مَفْعُولَات